CASSY Lab - messung7

t / s        sB1 /m        v / m/s

0,00         0,000
0,05         0,000           0,0
0,10         0,000           0,0
0,15         0,000           0,0
0,20         0,000           0,0
0,25         0,000           0,0
0,30         0,000           0,0
0,35         0,000           0,0
0,40         0,000           0,0
0,45         0,000           0,0
0,50         0,001           0,0
0,55         0,004           0,1
0,60         0,009           0,1
0,65         0,018           0,2
0,70         0,028           0,2
0,75         0,040           0,2
0,80         0,051           0,2
0,85         0,063           0,3
0,90         0,076           0,3
0,95         0,089           0,3
1,00         0,102           0,3
1,05         0,115           0,3
1,10         0,128           0,3
1,15         0,142           0,3
1,20         0,156           0,3
1,25         0,170           0,3
1,30         0,185           0,3
1,35         0,199           0,3
1,40         0,214           0,3
1,45         0,229           0,3
1,50         0,244           0,3
1,55         0,259           0,3
1,60         0,274           0,3
1,65         0,289           0,3
1,70         0,304           0,3
1,75         0,320           0,3
1,80         0,334           0,3
1,85         0,349           0,3
1,90         0,365           0,3
1,95         0,380           0,3
2,00         0,395           0,3
2,05         0,410           0,3
2,10         0,426           0,3
2,15         0,442           0,3
2,20         0,457           0,3
2,25         0,473           0,3
2,30         0,490           0,3
2,35         0,505           0,3
2,40         0,522           0,3
2,45         0,538           0,3
2,50         0,554           0,3
2,55         0,570           0,3
2,60         0,586           0,3
2,65         0,602           0,3
2,70         0,618           0,3
2,75         0,634           0,3
2,80         0,651           0,3
2,85         0,668           0,3
2,90         0,684           0,3
2,95         0,700           0,3
3,00         0,716           0,3
3,05         0,732           0,3
3,10         0,749           0,3
3,15         0,765           0,3
3,20         0,781           0,3
3,25         0,796           0,3
3,30         0,812           0,3
3,35         0,827           0,3
3,40         0,842           0,3
3,45         0,858           0,3
3,50         0,873           0,3
3,55         0,888           0,3
3,60         0,902           0,3
3,65         0,916           0,3
3,70         0,930           0,3
3,75         0,945           0,3
3,80         0,959           0,3
3,85         0,974           0,3
3,90         0,989           0,3
3,95         1,002           0,3
4,00         1,016           0,3
4,05         1,030           0,3
4,10         1,044           0,3
4,15         1,057           0,3
4,20         1,071           0,3
4,25         1,086           0,3
4,30         1,100           0,3
4,35         1,114           0,3
4,40         1,128           0,3
4,45         1,142           0,3
4,50         1,156           0,3
4,55         1,170           0,3
4,60         1,185           0,3
4,65         1,200           0,3
4,70         1,214           0,3
4,75         1,228           0,3
4,80         1,243           0,2
4,85         1,249           0,1
4,90         1,248          -0,0
4,95         1,248           0,0
5,00         1,248           0,0
5,05         1,248           0,0
5,10         1,248           0,0
5,15         1,248           0,0
5,20         1,248           0,0
5,25         1,248           0,0
5,30         1,248           0,0
5,35         1,248           0,0
5,40         1,248           0,0
5,45         1,248           0,0
5,50         1,248           0,0
5,55         1,248           0,0
5,60         1,248           0,0
5,65         1,248           0,0
5,70         1,248           0,0
5,75         1,248           0,0
5,80         1,248           0,0
5,85         1,248           0,0
5,90         1,248           0,0
5,95         1,248           0,0
6,00         1,248           0,0
6,05         1,248           0,0
6,10         1,248           0,0
6,15         1,248           0,0
6,20         1,248           0,0
6,25         1,248           0,0
6,30         1,248           0,0
6,35         1,248           0,0
6,40         1,248           0,0
6,45         1,248           0,0
6,50         1,248           0,0
6,55         1,248           0,0
6,60         1,248           0,0
6,65         1,248           0,0
6,70         1,248           0,0
6,75         1,248           0,0
6,80         1,248           0,0
6,85         1,248           0,0
6,90         1,248           0,0
6,95         1,248           0,0
7,00         1,248           0,0
7,05         1,248           0,0
7,10         1,248           0,0
7,15         1,248           0,0
7,20         1,248           0,0
7,25         1,248           0,0
7,30         1,248           0,0
7,35         1,248           0,0
7,40         1,248           0,0
7,45         1,248           0,0
7,50         1,248           0,0
7,55         1,248           0,0
7,60         1,248           0,0
7,65         1,248           0,0
7,70         1,248           0,0
7,75         1,248           0,0
7,80         1,248           0,0
7,85         1,248           0,0
7,90         1,248           0,0
7,95         1,248           0,0
8,00         1,248           0,0
8,05         1,248           0,0
8,10         1,248           0,0
8,15         1,248           0,0
8,20         1,248           0,0
8,25         1,248           0,0
8,30         1,248           0,0
8,35         1,248           0,0
8,40         1,248           0,0
8,45         1,248           0,0
8,50         1,248           0,0
8,55         1,248           0,0
8,60         1,248           0,0
8,65         1,248           0,0
8,70         1,248           0,0
8,75         1,248           0,0
8,80         1,248           0,0
8,85         1,248           0,0
8,90         1,248           0,0
8,95         1,248           0,0
9,00         1,248           0,0
9,05         1,248           0,0
9,10         1,248           0,0
9,15         1,248           0,0
9,20         1,248           0,0
9,25         1,248           0,0
9,30         1,248           0,0
9,35         1,248           0,0
9,40         1,248           0,0
9,45         1,248           0,0
9,50         1,248           0,0
9,55         1,248           0,0
9,60         1,248           0,0
9,65         1,248           0,0
9,70         1,248           0,0
9,75         1,248           0,0
9,80         1,248           0,0
9,85         1,248
