CASSY Lab - messung8                                                                                    1

t / s        sB1 /m        v / m/s

0,00         0,000
0,05         0,000           0,0
0,10         0,000           0,0
0,15         0,000           0,0
0,20         0,000           0,0
0,25         0,000           0,0
0,30         0,000           0,0
0,35         0,000           0,0
0,40         0,000           0,0
0,45         0,000           0,1
0,50         0,012           0,4
0,55         0,038           0,6
0,60         0,076           0,9
0,65         0,129           1,2
0,70         0,199           1,1
0,75         0,244           0,9
0,80         0,285           1,0
0,85         0,342           1,0
0,90         0,384           0,8
0,95         0,422           0,8
1,00         0,461           0,7
1,05         0,496           0,7
1,10         0,527           0,6
1,15         0,558           0,6
1,20         0,585           0,5
1,25         0,612           0,5
1,30         0,637           0,5
1,35         0,661           0,5
1,40         0,682           0,4
1,45         0,701           0,4
1,50         0,720           0,4
1,55         0,738           0,4
1,60         0,756           0,4
1,65         0,773           0,3
1,70         0,789           0,3
1,75         0,805           0,3
1,80         0,820           0,3
1,85         0,833           0,3
1,90         0,848           0,3
1,95         0,862           0,3
2,00         0,876           0,3
2,05         0,890           0,3
2,10         0,905           0,3
2,15         0,919           0,3
2,20         0,932           0,3
2,25         0,945           0,3
2,30         0,958           0,3
2,35         0,971           0,3
2,40         0,984           0,3
2,45         0,998           0,3
2,50         1,012           0,3
2,55         1,025           0,3
2,60         1,038           0,3
2,65         1,051           0,3
2,70         1,065           0,3
2,75         1,078           0,3
2,80         1,092           0,3
2,85         1,105           0,3
2,90         1,120           0,3
2,95         1,133           0,3
3,00         1,146           0,3
3,05         1,160           0,3
3,10         1,173           0,1
3,15         1,174           0,0
3,20         1,173          -0,0
3,25         1,173           0,0
3,30         1,173           0,0
3,35         1,173           0,0
3,40         1,173           0,0
3,45         1,173           0,0
3,50         1,173           0,0
3,55         1,173           0,0
3,60         1,173           0,0
3,65         1,173           0,0
3,70         1,173           0,0
3,75         1,173           0,0
3,80         1,173           0,0
3,85         1,173           0,0
3,90         1,173           0,0
3,95         1,173           0,0
4,00         1,173           0,0
4,05         1,173           0,0
4,10         1,173           0,0
4,15         1,173           0,0
4,20         1,173           0,0
4,25         1,173           0,0
4,30         1,173           0,0
4,35         1,173           0,0
4,40         1,173           0,0
4,45         1,173           0,0
4,50         1,173           0,0
4,55         1,173           0,0
4,60         1,173           0,0
4,65         1,173           0,0
4,70         1,173           0,0
4,75         1,173           0,0
4,80         1,173           0,0
4,85         1,173           0,0
4,90         1,173           0,0
4,95         1,173
