
# Curve 0 of 1, 120 points
# Curve title: "3/sqrt(0.5+(x-1/x)**2)"
# x y type
0.00000 0.00000  u
0.06723 0.20237  i
0.13445 0.40888  i
0.20168 0.62384  i
0.26891 0.85189  i
0.33613 1.09811  i
0.40336 1.36803  i
0.47059 1.66742  i
0.53782 2.00155  i
0.60504 2.37338  i
0.67227 2.77992  i
0.73950 3.20623  i
0.80672 3.61848  i
0.87395 3.96300  i
0.94118 4.18154  i
1.00840 4.24145  i
1.07563 4.15506  i
1.14286 3.96752  i
1.21008 3.72902  i
1.27731 3.47700  i
1.34454 3.23321  i
1.41176 3.00781  i
1.47899 2.80413  i
1.54622 2.62205  i
1.61345 2.45989  i
1.68067 2.31546  i
1.74790 2.18654  i
1.81513 2.07108  i
1.88235 1.96727  i
1.94958 1.87355  i
2.01681 1.78858  i
2.08403 1.71123  i
2.15126 1.64054  i
2.21849 1.57571  i
2.28571 1.51602  i
2.35294 1.46090  i
2.42017 1.40984  i
2.48739 1.36240  i
2.55462 1.31821  i
2.62185 1.27694  i
2.68908 1.23829  i
2.75630 1.20204  i
2.82353 1.16795  i
2.89076 1.13583  i
2.95798 1.10552  i
3.02521 1.07686  i
3.09244 1.04971  i
3.15966 1.02397  i
3.22689 0.99951  i
3.29412 0.97624  i
3.36134 0.95408  i
3.42857 0.93295  i
3.49580 0.91277  i
3.56303 0.89348  i
3.63025 0.87502  i
3.69748 0.85734  i
3.76471 0.84038  i
3.83193 0.82411  i
3.89916 0.80847  i
3.96639 0.79345  i
4.03361 0.77898  i
4.10084 0.76506  i
4.16807 0.75164  i
4.23529 0.73870  i
4.30252 0.72620  i
4.36975 0.71414  i
4.43697 0.70249  i
4.50420 0.69122  i
4.57143 0.68031  i
4.63866 0.66976  i
4.70588 0.65953  i
4.77311 0.64962  i
4.84034 0.64002  i
4.90756 0.63070  i
4.97479 0.62165  i
5.04202 0.61287  i
5.10924 0.60433  i
5.17647 0.59604  i
5.24370 0.58798  i
5.31092 0.58014  i
5.37815 0.57250  i
5.44538 0.56507  i
5.51261 0.55784  i
5.57983 0.55079  i
5.64706 0.54392  i
5.71429 0.53723  i
5.78151 0.53070  i
5.84874 0.52433  i
5.91597 0.51811  i
5.98319 0.51204  i
6.05042 0.50612  i
6.11765 0.50033  i
6.18487 0.49468  i
6.25210 0.48915  i
6.31933 0.48375  i
6.38655 0.47847  i
6.45378 0.47331  i
6.52101 0.46825  i
6.58824 0.46331  i
6.65546 0.45847  i
6.72269 0.45373  i
6.78992 0.44909  i
6.85714 0.44455  i
6.92437 0.44009  i
6.99160 0.43573  i
7.05882 0.43146  i
7.12605 0.42726  i
7.19328 0.42315  i
7.26050 0.41912  i
7.32773 0.41517  i
7.39496 0.41129  i
7.46218 0.40749  i
7.52941 0.40375  i
7.59664 0.40008  i
7.66387 0.39648  i
7.73109 0.39295  i
7.79832 0.38948  i
7.86555 0.38607  i
7.93277 0.38272  i
8.00000 0.37943  i

