
# Curve 0 of 1, 120 points
# Curve title: "3/sqrt(0.5+1/x)"
# x y type
0.00000 0.00000  u
0.06723 0.76509  i
0.13445 1.06483  i
0.20168 1.28408  i
0.26891 1.46059  i
0.33613 1.60933  i
0.40336 1.73810  i
0.47059 1.85164  i
0.53782 1.95309  i
0.60504 2.04466  i
0.67227 2.12798  i
0.73950 2.20429  i
0.80672 2.27457  i
0.87395 2.33959  i
0.94118 2.40000  i
1.00840 2.45632  i
1.07563 2.50900  i
1.14286 2.55841  i
1.21008 2.60487  i
1.27731 2.64866  i
1.34454 2.69002  i
1.41176 2.72915  i
1.47899 2.76626  i
1.54622 2.80149  i
1.61345 2.83500  i
1.68067 2.86691  i
1.74790 2.89735  i
1.81513 2.92641  i
1.88235 2.95420  i
1.94958 2.98079  i
2.01681 3.00627  i
2.08403 3.03071  i
2.15126 3.05417  i
2.21849 3.07671  i
2.28571 3.09839  i
2.35294 3.11925  i
2.42017 3.13935  i
2.48739 3.15872  i
2.55462 3.17741  i
2.62185 3.19545  i
2.68908 3.21288  i
2.75630 3.22972  i
2.82353 3.24601  i
2.89076 3.26177  i
2.95798 3.27704  i
3.02521 3.29183  i
3.09244 3.30616  i
3.15966 3.32006  i
3.22689 3.33355  i
3.29412 3.34664  i
3.36134 3.35936  i
3.42857 3.37171  i
3.49580 3.38372  i
3.56303 3.39539  i
3.63025 3.40675  i
3.69748 3.41781  i
3.76471 3.42857  i
3.83193 3.43905  i
3.89916 3.44927  i
3.96639 3.45922  i
4.03361 3.46892  i
4.10084 3.47839  i
4.16807 3.48762  i
4.23529 3.49663  i
4.30252 3.50542  i
4.36975 3.51401  i
4.43697 3.52240  i
4.50420 3.53060  i
4.57143 3.53861  i
4.63866 3.54644  i
4.70588 3.55409  i
4.77311 3.56158  i
4.84034 3.56891  i
4.90756 3.57608  i
4.97479 3.58309  i
5.04202 3.58996  i
5.10924 3.59669  i
5.17647 3.60328  i
5.24370 3.60973  i
5.31092 3.61606  i
5.37815 3.62225  i
5.44538 3.62833  i
5.51261 3.63429  i
5.57983 3.64013  i
5.64706 3.64586  i
5.71429 3.65148  i
5.78151 3.65700  i
5.84874 3.66241  i
5.91597 3.66773  i
5.98319 3.67295  i
6.05042 3.67807  i
6.11765 3.68310  i
6.18487 3.68804  i
6.25210 3.69290  i
6.31933 3.69767  i
6.38655 3.70235  i
6.45378 3.70696  i
6.52101 3.71149  i
6.58824 3.71594  i
6.65546 3.72032  i
6.72269 3.72463  i
6.78992 3.72886  i
6.85714 3.73303  i
6.92437 3.73712  i
6.99160 3.74116  i
7.05882 3.74513  i
7.12605 3.74903  i
7.19328 3.75288  i
7.26050 3.75666  i
7.32773 3.76039  i
7.39496 3.76406  i
7.46218 3.76768  i
7.52941 3.77124  i
7.59664 3.77474  i
7.66387 3.77820  i
7.73109 3.78160  i
7.79832 3.78496  i
7.86555 3.78826  i
7.93277 3.79152  i
8.00000 3.79473  i

